Date,Rn,Rg,RH,Ta,Pa,Tbc,P
2021-03-02 03:00:0,-32.30988,0.0,87.71667,8.934999000000001,1017.58016,8.301666,0.0
2021-03-02 03:30:0,-26.63611,0.0,87.535,9.023333000000001,1017.59336,8.647457000000001,0.0
2021-03-02 04:00:0,-30.22515,0.0,88.10831999999999,8.878332,1017.6215599999999,8.483333,0.0
2021-03-02 04:30:0,-27.807159999999996,0.0,88.79333000000001,8.735,1017.6202400000001,8.493333,0.0
2021-03-02 05:00:0,-39.3257,0.0,89.50667,8.589999,1017.59336,8.429999,0.0
2021-03-02 05:30:0,-48.452290000000005,0.0,90.62167,8.405,1017.73556,8.231667,0.0
2021-03-02 06:00:0,-36.377520000000004,0.0,91.85332,8.235,1017.93068,8.02,0.0
2021-03-02 06:30:0,-40.28555,0.0,92.25832,8.208333,1018.16036,7.95,0.0
2021-03-02 07:00:0,-40.455940000000005,0.0,92.75166,8.138333,1018.3145599999999,7.656667,0.0
2021-03-02 07:30:0,-43.17735,0.0,93.37,8.028333,1018.5002,7.552542,0.0
2021-03-02 08:00:0,-40.662440000000004,2.7547330000000003,93.865,7.9166669999999995,1018.91168,7.338333,0.0
2021-03-02 08:30:0,-23.589779999999998,22.18459,94.41833000000001,7.905,1019.32556,7.568333,0.0
2021-03-02 09:00:0,2.036059,52.13942,93.625,8.278333,1019.4599599999999,8.105,0.0
2021-03-02 09:30:0,34.60577,82.64666,91.80666,8.889999000000001,1019.693,8.893332000000001,0.0
2021-03-02 10:00:0,87.94138000000001,161.7716,88.29833,9.776667,1019.9549599999999,9.934999000000001,0.0
2021-03-02 10:30:0,214.9779,317.8385,83.52166,11.10667,1020.2687599999999,11.325,0.0
2021-03-02 11:00:0,211.8788,318.9801,78.84333000000001,12.17333,1020.4404800000001,12.49167,0.0
2021-03-02 11:30:0,285.5529,401.93800000000005,73.53166,13.46333,1020.46736,13.88305,0.0
2021-03-02 12:00:0,284.3489,400.329,68.76666999999999,14.55,1020.4548800000001,15.015,0.0
2021-03-02 12:30:0,408.6377,548.1429,64.75333,15.35333,1020.5025199999999,16.05333,0.0
2021-03-02 13:00:0,406.9064,547.2819,59.24,16.168329999999997,1020.40544,16.85,0.0
2021-03-02 13:30:0,358.5995,493.9436,59.835,16.34667,1020.3624800000001,16.866670000000003,0.0
2021-03-02 14:00:0,454.8133,610.8514,56.485,17.01833,1020.23096,17.683329999999998,0.0
2021-03-02 14:30:0,426.7274,579.9828,54.27,17.685,1019.9948,18.316670000000002,0.0
2021-03-02 15:00:0,405.6156,554.1434,54.29833000000001,17.87,1019.8847599999999,18.51333,0.0
2021-03-02 15:30:0,345.6624,493.0847,53.27333,17.60333,1019.89544,18.01333,0.0
2021-03-02 16:00:0,287.3331,427.5929,52.16167,17.855,1019.909,18.25,0.0
