Freq [GHz],"dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","dB(S(2,1)) [] - $eps1='13.5' $eps2='3.25'","dB(S(2,1)) [] - $eps1='14' $eps2='3.4'","dB(S(2,1)) [] - $eps1='14.5' $eps2='3.55'","dB(S(2,1)) [] - $eps1='15' $eps2='3.7'","dB(S(2,1)) [] - $eps1='15.5' $eps2='3.85'","dB(S(2,1)) [] - $eps1='16' $eps2='4'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='13.5' $eps2='3.25'","arg(S(2,1)) [deg] - $eps1='14' $eps2='3.4'","arg(S(2,1)) [deg] - $eps1='14.5' $eps2='3.55'","arg(S(2,1)) [deg] - $eps1='15' $eps2='3.7'","arg(S(2,1)) [deg] - $eps1='15.5' $eps2='3.85'","arg(S(2,1)) [deg] - $eps1='16' $eps2='4'",
0.1,-60.25293362,-59.96635955,-59.6612876,-59.41939093,-59.36765457,-59.26454641,-59.0604707,-59.11812112,-59.1088794,-58.99568057,-59.05695813,-59.07814554,-59.00889703,-59.0755649,-59.09582416,-59.06442263,-59.07318253,-59.11731125,-59.13577164,-59.06298508,-59.07792662,-59.07187575,-59.09060996,-58.87740955,-59.12514628,74.05196753,72.62719138,71.19028225,70.08612743,69.33818113,68.73787487,67.6420695,67.22225618,66.76385559,66.6594033,67.00177398,66.66321996,66.40192191,66.62203685,67.12766385,66.83583455,66.66379709,66.59814855,66.42221828,66.26426081,66.06792812,66.00978919,65.78267047,65.56860911,65.48223403,
0.1056751468,-59.33556626,-59.05260329,-58.75031608,-58.51030796,-58.45884717,-58.35471502,-58.15236547,-58.20767321,-58.19678796,-58.0779087,-58.13526027,-58.15898333,-58.08697042,-58.15264722,-58.17042056,-58.13994078,-58.14890935,-58.19281,-58.21192467,-58.13870235,-58.1541138,-58.14775002,-58.16729342,-57.95427207,-58.20281205,70.06193883,68.50817598,66.95307938,65.73909141,64.8878999,64.20820312,63.03564122,62.54087937,62.03535641,61.90208146,62.24889731,61.89867652,61.60314278,61.83784231,62.37509394,62.06771581,61.88247618,61.8079064,61.6224913,61.4503322,61.24052348,61.17800661,60.93831737,60.71909252,60.6232677,
0.1113502935,-58.45930505,-58.17921642,-57.87997151,-57.64260519,-57.59125113,-57.48628986,-57.28545832,-57.33878518,-57.3258806,-57.2019525,-57.255429,-57.27909338,-57.20647546,-57.27134732,-57.28731579,-57.25707462,-57.26605756,-57.31000804,-57.32982788,-57.25572985,-57.27148045,-57.26485167,-57.28533375,-57.07066131,-57.32150629,66.02215975,64.34963512,62.67867534,61.36238091,60.4166162,59.66052253,58.4153849,57.84999848,57.2860874,57.13491446,57.48677272,57.11418604,56.79819574,57.04545379,57.61302029,57.28889428,57.092071,57.00916302,56.79935799,56.63083622,56.40795275,56.34204474,56.09501469,55.86352671,55.75096481,
0.1170254403,-57.61979528,-57.34286335,-57.04702068,-56.81101818,-56.7604628,-56.65434425,-56.45477141,-56.50644805,-56.49141606,-56.36248379,-56.41205838,-56.43552256,-56.36216738,-56.42640757,-56.44031846,-56.41119048,-56.41945582,-56.46332976,-56.48247132,-56.40877695,-56.42508096,-56.41784807,-56.43907121,-56.22353576,-56.47520747,61.94232149,60.15582297,58.37869815,56.96306945,55.92985455,55.1004266,53.78643886,53.1575664,52.54212301,52.36343474,52.71981819,52.32324638,51.99243644,52.25072647,52.84451607,52.5097017,52.30042998,52.21083944,51.99542652,51.81116052,51.57651554,51.50786458,51.25005531,51.01446436,50.88920239,
0.1227005871,-56.81320112,-56.53939504,-56.24646004,-56.01168239,-55.96187463,-55.85460848,-55.65610136,-55.70590516,-55.68871691,-55.55505559,-55.60067417,-55.62382057,-55.54963089,-55.61346325,-55.62537698,-55.59610641,-55.60511865,-55.64830911,-55.66756801,-55.59339029,-55.60994339,-55.6020853,-55.62404837,-55.40750187,-55.66066829,57.83037729,55.93320624,54.06121247,52.54870547,51.43138264,50.5329129,49.15555687,48.45834023,47.79799699,47.59215372,47.95269031,47.54118039,47.18902395,47.45767632,48.07857911,47.72802049,47.50946753,47.41318306,47.18997688,46.99559267,46.74931177,46.67632364,46.41124909,46.16752423,46.03352326,
0.1283757339,-56.03615125,-55.76518176,-55.47452259,-55.24164471,-55.19188676,-55.08329545,-54.88544645,-54.93350289,-54.91412979,-54.77547374,-54.81726034,-54.83941233,-54.76470467,-54.82819058,-54.83856448,-54.80924262,-54.81811684,-54.86102628,-54.88024584,-54.80545354,-54.82223707,-54.81383892,-54.83617926,-54.61903378,-54.87303759,53.69249824,51.69428916,49.71853975,48.12279423,46.9233453,45.96169066,44.52248798,43.76420372,43.05636615,42.82727566,43.1898778,42.76229296,42.39130181,42.67046673,43.31694046,42.95442603,42.72448557,42.62275168,42.38753864,42.18722481,41.93063016,41.85640739,41.58098468,41.32345007,41.18843228,
0.1340508806,-55.28558711,-55.0171541,-54.72859239,-54.49692721,-54.44729642,-54.33707978,-54.13944979,-54.18570581,-54.16405935,-54.02036215,-54.05835092,-54.0805195,-54.00387274,-54.06737847,-54.07606067,-54.04679778,-54.05542079,-54.09776237,-54.1172045,-54.04135398,-54.05833981,-54.04914587,-54.07168704,-53.8529468,-54.10892422,49.53419672,47.43707104,45.3685594,43.68946725,42.41370624,41.38954829,39.89162949,39.07476627,38.32012444,38.06693934,38.43300239,37.98785805,37.60270577,37.89228229,38.56069527,38.1871304,37.94763152,37.84091104,37.59534643,37.38798111,37.12074647,37.04451709,36.76205648,36.49760611,36.35343581,
0.1397260274,-54.55881227,-54.29258586,-54.00577445,-53.77481369,-53.72529017,-53.6129699,-53.41544192,-53.45940365,-53.43515541,-53.28646777,-53.32072239,-53.34248503,-53.26365426,-53.3272653,-53.33480832,-53.30543568,-53.31354645,-53.35540862,-53.37450732,-53.2978594,-53.31484256,-53.30470715,-53.32803409,-53.1073778,-53.36452151,45.35991353,43.16783536,41.00913987,39.25110721,37.90269119,36.81839828,35.26489295,34.39082419,33.59463877,33.31421633,33.68332743,33.22240508,32.81845422,33.12021573,33.81272975,33.42765304,33.18072019,33.06866754,32.81072897,32.59930695,32.32326885,32.24355068,31.95440025,31.68676422,31.5306897,
0.1454011742,-53.85358094,-53.5889711,-53.3034515,-53.07280185,-53.02298007,-52.90831534,-52.7098523,-52.75187369,-52.72483318,-52.56980409,-52.60149029,-52.62154608,-52.54188373,-52.60563845,-52.61193415,-52.58241627,-52.59002014,-52.63112815,-52.64982453,-52.57257003,-52.58911152,-52.57789329,-52.60131105,-52.37913209,-52.63763931,41.17147468,38.88965802,36.64557297,34.80970928,33.39204541,32.24927042,30.63956743,29.71308315,28.87480256,28.56875132,28.9418411,28.4630701,28.05176862,28.35967867,29.07374948,28.67902582,28.42214938,28.30670015,28.04222891,27.82227909,27.53633648,27.45398478,27.15748864,26.88161885,26.72304853,
0.1510763209,-53.16706532,-52.90414107,-52.61939497,-52.38869764,-52.33815104,-52.22071077,-52.02110997,-52.06062946,-52.03044339,-51.87142008,-51.89811254,-51.91643776,-51.83524826,-51.89941818,-51.90485003,-51.87501139,-51.88192326,-51.92216496,-51.94052979,-51.86158161,-51.87831268,-51.86603744,-51.88950602,-51.66544705,-51.92526293,36.97668832,34.60542131,32.27741986,30.36754582,28.88295683,27.68307935,26.02085157,25.04148749,24.16262188,23.83280055,24.20820858,23.72026964,23.29083949,23.60921585,24.34400086,23.94031136,23.67499758,23.55474891,23.28094057,23.05408952,22.76021044,22.67560233,22.37265493,22.08880484,21.92555363,
