"Freq [GHz]","dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'"
0.1,-75.3222433117938,-72.4647984355228,-71.3997780346475,-71.0310284203956,-70.6639461224892,-70.6589126740509,-70.5251902404896,-70.3014992863494,-70.1724105237517,-70.1272704160445,-70.1998676615979,-70.2079500760475,77.9803022666081,53.6383332802045,36.8466031905103,24.2422320853994,10.661206176023,1.1710239262524,-6.3166928352461,-11.3423865642173,-11.2035390569376,-13.347657767672,-10.8325713310223,-12.2467803696713
0.105675146771037,-74.3593446628925,-71.5384923187759,-70.4824164058047,-70.0962137684774,-69.6977928026223,-69.6436828577533,-69.4544683611769,-69.1674825137252,-69.0037250073073,-68.9298659880433,-69.0176195437999,-69.0093333829255,72.4269773474862,47.1875596294391,29.9077373823408,16.9528740649371,2.93052189293813,-7.00023274277453,-14.9261514290067,-20.3188995599564,-20.1469280990265,-22.4348929331342,-19.721970376747,-21.235559802908
0.111350293542074,-73.4437506508345,-70.6535577491929,-69.5983822708451,-69.187015224412,-68.7504104544958,-68.6424659186971,-68.3951860712937,-68.0418500240296,-67.8387703143994,-67.7350067969514,-67.8370345981482,-67.811959142181,66.8944961363168,40.7827599891843,23.0207751223274,9.70010305459107,-4.80566920348037,-15.2273287758639,-23.6453862728161,-29.460718638858,-29.2628241995394,-31.7182575372776,-28.7804374924253,-30.4094578846121
0.117025440313112,-72.5701982907237,-69.8045559143389,-68.7424444102233,-68.2987186363629,-67.8181153760812,-67.652819376667,-67.3462841998966,-66.9251124856844,-66.6780018058765,-66.5438854483888,-66.6583573273682,-66.6165901449289,61.3830737727143,34.4205455913232,16.1772906520336,2.47118272399549,-12.563428382681,-23.529571177967,-32.4956265378727,-38.7934222590841,-38.5828105212673,-41.2308441997643,-38.0415318177364,-39.8027211514584
0.122700587084149,-71.734134794326,-68.9868064440859,-67.9101740151574,-67.4274234368313,-66.8980361477171,-66.6731825918543,-66.3077077759488,-65.819078432745,-65.5234460927428,-65.3594352400254,-65.4834815868902,-65.4257320572364,55.8927576878826,28.0974417373955,9.36922967233516,-4.74575904282338,-20.3573454973833,-31.9237286002929,-41.4939744772326,-48.3361094466805,-48.1325925678701,-50.998617893473,-47.5335286087439,-49.4435062191413
0.128375733855186,-70.9315905700796,-68.1962558219089,-67.0978030378335,-66.5699030557089,-65.9879879099765,-65.7027472412476,-65.2802385200044,-64.726601147862,-64.3785291621581,-64.186097565486,-64.3158197475608,-64.2434828885913,50.4234601782616,21.8099290406352,2.58891353961232,-11.9617952035162,-28.2005764662342,-40.423895435783,-50.6527795910888,-58.0997804684245,-57.9297559320366,-61.0376679466336,-57.277181477904,-59.3511274232655
0.134050880626223,-70.1590789922017,-67.4293735332748,-66.3021140997888,-65.7234946377945,-65.0863702498514,-64.741340640157,-64.2653056093381,-63.6512416454736,-63.2477725505018,-63.0294425246598,-63.1600641304084,-63.075216827359,44.974959112663,15.554473031816,-4.17096350021894,-19.1872457523981,-36.1048514485284,-49.0412164289548,-59.9789108479388,-68.0856155596137,-67.9811592071564,-71.3507671144499,-67.2827370092234,-69.5327537712967
0.13972602739726,-69.4135176496936,-66.6830687919403,-65.5203509361271,-64.8860138985701,-64.1920840165681,-63.7893079975274,-63.2647529679214,-62.5967851799112,-62.1362978112521,-61.8954976764925,-62.0217274540475,-61.9270204834776,39.546909413253,9.32755036160241,-10.9173498514882,-26.431711535008,-44.0804051427322,-57.7835587383546,-69.47305257214,-78.2837745184694,-78.2804260915583,-81.9244902779547,-77.5470153797082,-79.9801377409234
0.145401174168297,-68.6921655322689,-65.9546234523495,-64.7501483332002,-64.0556867081632,-63.3044598613084,-62.8473814660871,-62.2805594709061,-61.5666538156884,-61.0491181424797,-60.7898178449297,-60.9064460320757,-60.8048442769023,34.1388827456767,3.12566634486935,-17.6568384303212,-33.7040887544651,-52.1358547813995,-66.6551516803947,-79.1292737019852,-88.67299162048,-88.8062804392857,-92.72761861645,-88.0510045647951,-90.6673274494795
0.151076320939335,-67.9925701148442,-65.2416370760202,-63.9894739831612,-63.231094487743,-62.4231873830056,-61.9165310229235,-61.3145144931049,-60.5632585456107,-59.9902585225987,-59.7163719551629,-59.8190529673713,-59.7134186028359,28.750316773572,-3.05462927171861,-24.3956838915036,-41.012561236637,-60.2780694879872,-75.6562885197966,-88.9350003076417,-99.2215839824217,-99.5226085236588,-103.71210034486,-98.7590888606094,-101.550545476293
