Freq [GHz],"dB(S(1,1)) [] - $eps1='1' $eps2='0'","dB(S(1,1)) [] - $eps1='2' $eps2='0.1'","dB(S(1,1)) [] - $eps1='3' $eps2='0.2'","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'"
0.1,-0.10202123674215,-0.107507777071167,-0.109476195845847,-0.110115995202459,-0.11284644891779,-0.110505447533411,-0.110408249319127,-0.105175070708664,-0.101944902327671,-44.2304923252751,-45.0565726505376,-45.4009375145156,-45.5433046480301,-45.5848282324361,-45.2821268236964,-45.8201599955008,-45.2299659162093,-45.1364217776475
0.105675146771037,-0.107413379608073,-0.113141167875061,-0.115163957253445,-0.115826779164777,-0.118823819809324,-0.11658028805923,-0.116514935133067,-0.110991737784642,-0.107411661246093,-46.6312520215263,-47.4987755440626,-47.8601490262085,-48.0122625256372,-48.059646283579,-47.7490591146089,-48.3125053205406,-47.6988810627533,-47.6034249548225
0.111350293542074,-0.112729962391829,-0.118689975727294,-0.120765663289611,-0.121459313587837,-0.124746762049836,-0.122630136924996,-0.122611416699781,-0.116818277487829,-0.112873029386175,-49.018292756294,-49.9267313379523,-50.304929698164,-50.4671366869584,-50.5210102155147,-50.203816037174,-50.7919429692736,-50.1562279863954,-50.0593730855678
0.117025440313112,-0.117969277504601,-0.124153546258472,-0.126282971676353,-0.127017911982399,-0.130623079728222,-0.128665252736841,-0.128710628108442,-0.122670253556081,-0.118345445766933,-51.3913719630997,-52.3402230207449,-52.7350880563686,-52.9077588973914,-52.9687789667586,-52.6462909252515,-53.2583554069628,-52.6019084542304,-52.5041871752408
0.122700587084149,-0.123130349528356,-0.12953225444889,-0.131718880482706,-0.132508367676312,-0.136462265153467,-0.134698025019783,-0.134827986361806,-0.128566157313189,-0.123848567736873,-53.7502824601773,-54.7390730646766,-55.1504746198872,-55.3340036406074,-55.4028519565652,-55.0764124986291,-55.7116625459132,-55.0358564631259,-54.9378196752281
0.128375733855186,-0.128212859668151,-0.134827473659318,-0.137077660809707,-0.137937976544953,-0.142275647613716,-0.140743041749789,-0.140981639431986,-0.134527541390891,-0.129405584692261,-56.0948535302658,-57.1231446925423,-57.5509831017229,-57.7457879183872,-57.8231699116236,-57.4941465315371,-58.15182092322,-57.4580353046727,-57.3602520828448
0.134050880626223,-0.133217271350482,-0.140041592767899,-0.142364942278226,-0.143315558666031,-0.148076386552589,-0.14681715151622,-0.14719233303799,-0.140578928427752,-0.135043371868884,-58.4249514876775,-59.4923424163367,-59.9365510991508,-60.1430732029121,-60.2297156054623,-59.8994949048757,-60.5788224431215,-59.8684346495043,-59.7714904026746
0.13972602739726,-0.138144744768362,-0.145178054910545,-0.14758762971879,-0.148651540510915,-0.153879587624682,-0.152939475628046,-0.153483468464435,-0.146747783378766,-0.140792489190798,-60.7404800110259,-61.8466121679128,-62.3071604459674,-62.5258651166785,-62.622514078305,-62.2924952603094,-62.9926910815996,-62.2670653661568,-62.1715589946635
0.145401174168297,-0.14299717993518,-0.150241352799261,-0.152753984723129,-0.153957912469228,-0.159702301937034,-0.159131436874733,-0.159880810162007,-0.153063911508705,-0.146686914680482,-63.0413803179072,-64.1859419548735,-64.6628374503532,-64.8942139099989,-65.0016321757499,-64.6732195561328,-65.393480539475,-64.6539527850128,-64.5604922283507
0.151076320939335,-0.147777184572071,-0.155237011963027,-0.157873656985174,-0.159248401130309,-0.165563649974448,-0.165416690041391,-0.166412149791459,-0.15955854411794,-0.152763257698104,-65.3276316359909,-66.5103616196655,-67.0036530020591,-67.24821426198,-67.3671779439858,-67.0417726311469,-67.7812701552869,-67.0291306283656,-66.9383235631374
0.156751467710372,-0.152488119632491,-0.160171651516245,-0.16295765028105,-0.164538434336653,-0.171484794382828,-0.171820916133366,-0.173106582055397,-0.166262848000142,-0.159059111137862,-67.5992506526545,-68.8199429220023,-69.3297221655357,-69.5880055757513,-69.7192999168853,-69.3982895019463,-70.1561603480244,-69.3926328035682,-69.3050736782533
0.162426614481409,-0.15713406775279,-0.165052960804015,-0.168018466491853,-0.16984521462682,-0.177488967929455,-0.178371561889301,-0.17999354696239,-0.17320556416497,-0.165610487249679,-69.8562915382917,-71.1147992300323,-71.6412048077805,-71.9137709276324,-72.0581857935404,-71.7429337272001,-72.5182690539747,-71.7444880075926,-71.6607378246809
0.168101761252446,-0.16171986709339,-0.169889743191124,-0.173070020420924,-0.175187810167602,-0.18360140282709,-0.185097345442958,-0.187101384782212,-0.180409758562022,-0.172447525138808,-72.098845606404,-73.3950854386685,-73.9383046331696,-74.2257370204719,-74.3840611091908,-74.0758944190812,-74.8677285896183,-74.0847175800741,-74.0052755252648
