Freq [GHz],"dB(S(1,1))_1 [] - $eps1='1' $eps2='0'","dB(S(1,1))_1 [] - $eps1='2' $eps2='0.1'","dB(S(1,1))_1 [] - $eps1='3' $eps2='0.2'","dB(S(1,1))_1 [] - $eps1='4' $eps2='0.3'","dB(S(1,1))_1 [] - $eps1='5' $eps2='0.6'","dB(S(1,1))_1 [] - $eps1='6' $eps2='0.9'","dB(S(1,1))_1 [] - $eps1='7' $eps2='1.1'","dB(S(1,1))_1 [] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'"
0.1,-0.102569488586709,-0.106629615561902,-0.107436348761256,-0.107550777987936,-0.111444751710769,-0.110131382982182,-0.108244059285408,-0.10511699473501,-44.5364413653599,-44.9444335076602,-44.8028358119026,-44.6672744210149,-45.1148487276337,-44.9718766206934,-44.9249996151986,-44.898965939636
0.105675146771037,-0.107920196163391,-0.112183227536692,-0.113113310517276,-0.113295575882716,-0.117503365335639,-0.116314527475208,-0.114336034078196,-0.111016179755657,-46.949664094206,-47.3811976820426,-47.2401596068315,-47.101873317729,-47.5717761079681,-47.4258233036158,-47.3788740607107,-47.354672262358
0.111350293542074,-0.113181257248395,-0.117658179972136,-0.118729660143436,-0.118990314392649,-0.123517535975498,-0.122462395895934,-0.120391147629767,-0.116880963870235,-49.3484192344466,-49.803845993021,-49.6646647688466,-49.5243958245191,-50.0163001503477,-49.8680850445421,-49.8214249721003,-49.7995149470062
0.117025440313112,-0.118356750635369,-0.123055333484854,-0.124287397468935,-0.124635782517758,-0.129487991649352,-0.128574368503892,-0.126408763292972,-0.122711612014223,-51.7325810253082,-52.2121568040213,-52.0761723866943,-51.9346825364973,-52.448283970625,-52.2985746415739,-52.2526030044116,-52.2334880067596
0.122700587084149,-0.123444410517936,-0.128377054008978,-0.129788027153439,-0.130234552148267,-0.135415891674738,-0.134651433033767,-0.132391467622901,-0.128513875439753,-54.1018883059039,-54.605945349568,-54.4745258611081,-54.3326218483834,-54.8676355674389,-54.7172563933835,-54.6724152591092,-54.6566468724593
0.128375733855186,-0.128444205580177,-0.133625191358468,-0.135234844168887,-0.135788300672603,-0.141303418858148,-0.140696979263828,-0.138346404271676,-0.134300949326658,-56.4561677458762,-56.9850655914747,-56.8596207205267,-56.7181363630606,-57.2743125905453,-57.1241498888931,-57.0809240301369,-57.0691011933321
0.134050880626223,-0.133357277080903,-0.13880322483068,-0.140631381070695,-0.14130028460181,-0.147154048185879,-0.146717731965621,-0.144286531362783,-0.140094680937342,-58.7952805693894,-59.3494127349811,-59.2313879514521,-59.0911900129232,-59.6683241421294,-59.5193284880932,-59.4782413989146,-59.4709999217344
0.13972602739726,-0.138185174515808,-0.143915033958636,-0.145981874905386,-0.146773817799081,-0.152973142178451,-0.152724758460804,-0.150231408134189,-0.145926040976763,-61.1191002713346,-61.6989222137438,-61.5897993561545,-61.4517942328066,-62.0497328502171,-61.9029192244998,-61.864520151715,-61.8625133502228
0.145401174168297,-0.142932358586161,-0.148965303587713,-0.151291180751153,-0.152213292898967,-0.158768637645682,-0.158734389413277,-0.156207600306864,-0.151834368452479,-63.4276434473368,-64.033570796152,-63.934869120616,-63.8000071020722,-64.4186562513982,-64.2750966780794,-64.2399418699784,-64.243813790452
0.151076320939335,-0.147597690267342,-0.153959566210601,-0.156564877826409,-0.157624221105491,-0.164551749978551,-0.164768754302116,-0.162248292231617,-0.157865693109191,-65.7208023043472,-66.3533771252121,-66.266654799613,-66.1359357891853,-66.7752653710161,-66.6360763173136,-66.6047047843636,-66.6150556221503
