Freq [GHz],"dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='6.5' $eps2='1'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(1,1)) [] - $eps1='13' $eps2='3.1'","dB(S(1,1)) [] - $eps1='13.5' $eps2='3.25'","dB(S(1,1)) [] - $eps1='14' $eps2='3.4'","dB(S(1,1)) [] - $eps1='14.5' $eps2='3.55'","dB(S(1,1)) [] - $eps1='15' $eps2='3.7'","dB(S(1,1)) [] - $eps1='15.5' $eps2='3.85'","dB(S(1,1)) [] - $eps1='16' $eps2='4'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(1,1)) [deg] - $eps1='13' $eps2='3.1'","arg(S(1,1)) [deg] - $eps1='13.5' $eps2='3.25'","arg(S(1,1)) [deg] - $eps1='14' $eps2='3.4'","arg(S(1,1)) [deg] - $eps1='14.5' $eps2='3.55'","arg(S(1,1)) [deg] - $eps1='15' $eps2='3.7'","arg(S(1,1)) [deg] - $eps1='15.5' $eps2='3.85'","arg(S(1,1)) [deg] - $eps1='16' $eps2='4'",
1.019373777,-3.123786657,-3.264928294,-3.500859055,-3.623739802,-3.759663639,-3.740221248,-3.835531427,-3.869825475,-3.874908657,-3.910941616,-4.066675012,-4.000360559,-4.054247385,-4.079081284,-4.120796745,-4.072623252,-4.086955115,-4.110546058,-4.05189474,-4.049763884,-3.970151624,-4.021557081,-4.018262802,-4.080722441,-4.009457442,94.26075967,91.42018808,89.07728373,91.07695332,90.37971256,89.41694594,88.83775202,87.25469187,88.09818286,87.34493423,86.96736907,86.98191326,87.61561562,87.90428188,87.59255465,88.15780535,88.57419633,87.65379368,87.12274922,86.80226212,87.18367211,86.8641683,87.5321462,86.79723407,87.85428233,
1.025048924,-3.193234089,-3.360130512,-3.612027094,-3.719137533,-3.846025132,-3.826264248,-3.927875067,-3.96382539,-3.974907949,-4.014639896,-4.175617895,-4.099084344,-4.147930888,-4.168262743,-4.202863814,-4.142634413,-4.160183797,-4.193591411,-4.143612961,-4.150443188,-4.069455465,-4.121388382,-4.111251997,-4.168916101,-4.086836842,91.87908417,89.10885148,86.93355918,89.12332207,88.34775396,87.35081413,86.73725118,85.14238641,86.01904181,85.30767361,84.92607038,85.02002073,85.6584945,85.98238321,85.74729475,86.22702227,86.54289455,85.52871384,84.99356544,84.72435804,85.18594755,84.91723612,85.6124855,84.87894863,85.91698934,
1.03072407,-3.270035735,-3.46346476,-3.727444076,-3.814881943,-3.934984753,-3.915233724,-4.023090264,-4.061089283,-4.078729615,-4.121800372,-4.286732442,-4.198552388,-4.243505003,-4.259849565,-4.283784517,-4.219926461,-4.24538372,-4.289241608,-4.244864232,-4.255664464,-4.167639826,-4.215908709,-4.19835675,-4.254080367,-4.165956512,89.46714339,86.79083885,84.80726871,87.16295645,86.29533885,85.26955816,84.61849621,83.01151613,83.92456581,83.26159519,82.87821148,83.04306885,83.67450531,84.01719834,83.81830601,84.21526106,84.46401726,83.39582459,82.8897959,82.69076458,83.22587007,82.98349426,83.66643824,82.90254792,83.9097956,
1.036399217,-3.354589066,-3.574977351,-3.84608923,-3.910916954,-4.026681866,-4.006971791,-4.121227282,-4.161776018,-4.186499474,-4.232297892,-4.399706245,-4.299039793,-4.341603982,-4.355289374,-4.368404838,-4.306796834,-4.341656191,-4.394075432,-4.350637149,-4.360085222,-4.26144019,-4.305542137,-4.283658566,-4.342023216,-4.251534074,87.02686723,84.47147341,82.7003594,85.19147232,84.22281937,83.17272516,82.47990992,80.86137512,81.81551114,81.20734686,80.82209572,81.04783882,81.66503216,82.01541451,81.81362445,82.15187436,82.36924879,81.27923516,80.8202666,80.68921162,81.27152255,81.02224713,81.66492254,80.8610149,81.8460933,
1.042074364,-3.447296815,-3.694573932,-3.966838328,-4.007342728,-4.121179392,-4.101335048,-4.222369191,-4.266130788,-4.298290921,-4.345935512,-4.514330707,-4.400947389,-4.442623353,-4.455256718,-4.45967238,-4.403244825,-4.446488525,-4.50381946,-4.45637027,-4.460860101,-4.351479443,-4.394095086,-4.372072892,-4.436937839,-4.345815923,84.56068195,82.15662875,80.61316394,83.20482846,82.13064058,81.05930816,80.31993527,78.69191036,79.69304419,79.14546834,78.75542494,79.03219986,79.63261539,79.98557708,79.75211577,80.0640067,80.28044724,79.18826749,78.77529316,78.69119892,79.28903033,79.0095609,79.60461571,78.76937285,79.7485746,
1.047749511,-3.548543857,-3.821982519,-4.088538082,-4.104382532,-4.218468122,-4.198222711,-4.326683677,-4.374381452,-4.414140364,-4.462487121,-4.630512986,-4.504680008,-4.546691916,-4.55973155,-4.558645916,-4.507691111,-4.556527142,-4.614540556,-4.559535193,-4.558527896,-4.441048821,-4.485927253,-4.467032772,-4.540669437,-4.44913714,82.07155608,79.85258842,78.5441713,81.19963033,80.01913106,78.92794733,78.13712881,76.50332336,77.55843377,77.07606796,76.67562841,76.99541575,77.58004377,77.9357459,77.65510682,77.97203869,78.20729376,77.11652851,76.73182485,76.66699253,77.25925716,76.94413239,77.49972703,76.65059755,77.64003478,
1.053424658,-3.658690841,-3.956717441,-4.210092513,-4.202331727,-4.31848384,-4.297596338,-4.434391178,-4.486751707,-4.533967209,-4.581713493,-4.7482732,-4.610585661,-4.653724266,-4.668204255,-4.664795993,-4.617635428,-4.668559587,-4.723865778,-4.660322082,-4.655924356,-4.533805284,-4.584008749,-4.569970541,-4.653237756,-4.560554271,79.56304919,77.56584719,76.48996093,79.17326584,77.88836653,76.77697551,75.93032546,74.29632908,75.41319372,74.99871349,74.5803277,74.93771588,75.50971174,75.87174367,75.54115076,75.88727689,76.14721774,75.04631545,74.66531267,74.59973756,75.18188351,74.84001968,75.3709989,74.5279316,75.54083654,
1.059099804,-3.778062711,-4.098046051,-4.330554423,-4.301507202,-4.42112543,-4.399479596,-4.545766618,-4.603441188,-4.657638775,-4.703377791,-4.867731364,-4.718866495,-4.763483705,-4.779922159,-4.776590291,-4.730437142,-4.780446133,-4.831577178,-4.760863013,-4.756238425,-4.63220865,-4.689468617,-4.680663437,-4.77325928,-4.6780585,77.03938618,75.30279456,74.44536814,77.12393198,75.73803231,74.60458846,73.69868713,72.0722354,73.25871057,72.91263919,72.46754103,72.86015588,73.42317669,73.79651024,73.42271786,73.81104915,74.08790212,72.95752043,72.56083226,72.48908643,73.06955396,72.71711146,73.23935066,72.42204504,73.46868342,
1.064774951,-3.906920742,-4.244965361,-4.449201806,-4.402206654,-4.526287844,-4.503981941,-4.661117316,-4.724594104,-4.784922186,-4.827303683,-4.989040954,-4.829594393,-4.87567441,-4.894129769,-4.892056346,-4.844044938,-4.891633427,-4.939133384,-4.863717632,-4.861600449,-4.737089363,-4.801799041,-4.797553712,-4.8980998,-4.798440173,74.50552441,73.06928209,72.40388132,75.05053106,73.56737296,72.40896964,71.44183706,69.8327571,71.09611611,70.81651204,70.33598448,70.76394714,71.32095828,71.71021108,71.30503489,71.73641444,72.01396824,70.83671822,70.41688914,70.34654608,70.9399478,70.59543532,71.12328028,70.35010012,71.43751006,
1.070450098,-4.04545074,-4.396201816,-4.565593485,-4.50467329,-4.633873517,-4.611267682,-4.780765723,-4.850278955,-4.915532472,-4.953353302,-5.112345569,-4.942703443,-4.989971957,-5.010230243,-5.009361313,-4.957480649,-5.00292479,-5.048497016,-4.970653266,-4.972601627,-4.847756619,-4.919106433,-4.917833572,-5.023780806,-4.917088087,71.96717214,70.87010099,70.35813907,72.95250788,71.37521233,70.18838095,69.15995251,67.58003367,68.92612388,68.70903583,68.18500929,68.65018885,69.20281342,69.61107754,69.18631744,69.65224321,69.91380347,68.68113606,68.24229203,68.1884743,68.81075499,68.49211882,69.03709792,68.32310976,69.4534706,
