"Freq [GHz]","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='6.5' $eps2='1'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(1,1)) [] - $eps1='13.5' $eps2='3.25'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(1,1)) [deg] - $eps1='13.5' $eps2='3.25'"
1.791193738,-11.00078839,-10.55322987,-10.15959893,-10.19542918,-9.09374359,-10.01123619,-9.905461278,-9.552599176,-9.474188764,-9.351672259,-9.162512689,-9.142774101,-9.219019944,-8.89056059,-8.974757254,-8.950429116,-8.97084932,-8.934200951,-8.874954181,-58.02078475,-61.00694711,-54.81919042,-57.17550354,-100.9296642,-56.01067701,-53.94466441,-55.27078108,-55.99558306,-59.47504247,-56.77088539,-56.49551186,-54.93414225,-55.5544019,-54.65808845,-52.72457582,-52.97233711,-52.28807816,-52.36000258
1.796868885,-10.91334262,-10.47306994,-10.1040574,-10.12710371,-8.9873248,-9.952606298,-9.854636321,-9.501452492,-9.42135798,-9.292492696,-9.115081096,-9.094002672,-9.172951179,-8.844558082,-8.934232761,-8.911614616,-8.928299608,-8.892993795,-8.833054006,-61.15852582,-64.08138517,-57.87646315,-60.27527093,-103.7007549,-59.13571157,-57.07039799,-58.32634771,-59.0671835,-62.539245,-59.81942727,-59.55463268,-58.04113975,-58.58467617,-57.73367788,-55.79816912,-56.05381501,-55.36492248,-55.45717832
1.802544031,-10.82545669,-10.39280418,-10.04777243,-10.05824205,-8.884271808,-9.893381614,-9.802813931,-9.449673316,-9.367990171,-9.232953898,-9.067076931,-9.044794593,-9.126066013,-8.79811159,-8.892900653,-8.871883027,-8.884657891,-8.850792774,-8.790167096,-64.25965208,-67.12541252,-60.90954225,-63.3481734,-106.4372058,-62.23422888,-60.17245272,-61.35932255,-62.11532213,-65.5760727,-62.84573762,-62.59194411,-61.12616125,-61.59440013,-60.78981675,-58.85352209,-59.11754294,-58.42588867,-58.53751175
1.808219178,-10.73735517,-10.31268341,-9.990945798,-9.989098778,-8.784697329,-9.833768242,-9.750195406,-9.397459823,-9.314271363,-9.173252627,-9.018680851,-8.995333487,-9.078552266,-8.751386333,-8.850911278,-8.831384633,-8.840120859,-8.807818942,-8.746530849,-67.32393999,-70.13881325,-63.91786769,-66.39375071,-109.1402002,-65.30547293,-63.25007507,-64.36909394,-65.13932474,-68.58509714,-65.84924711,-65.60681212,-64.18844639,-64.58300973,-63.82584602,-61.89006169,-62.16305302,-61.47041653,-61.60024254
1.813894325,-10.64925549,-10.23295121,-9.933781523,-9.919925561,-8.688697858,-9.773968342,-9.696984319,-9.345010191,-9.260386015,-9.113582379,-8.970074496,-8.945801647,-9.030598883,-8.704548932,-8.808420568,-8.790279398,-8.794897153,-8.764302136,-8.702384163,-70.35139864,-73.1214957,-66.90102424,-69.41167223,-111.8109248,-68.34885029,-66.30266153,-67.3551686,-68.13865198,-71.56603601,-68.82950698,-68.59872149,-67.2273714,-67.55005468,-66.84123812,-64.90732628,-65.18994195,-64.49797141,-64.6446259
1.819569472,-10.56136813,-10.15384249,-9.876484656,-9.850969407,-8.596355005,-9.714179046,-9.643385073,-9.292521157,-9.206515956,-9.054132566,-8.921439298,-8.896378934,-8.982394737,-8.657766529,-8.765589358,-8.74873563,-8.749204249,-8.720476952,-8.657962826,-73.34225236,-76.07348257,-69.85873395,-72.40172803,-114.4505673,-71.36392597,-69.32975346,-70.31716773,-71.11289609,-74.51874551,-71.78618449,-71.56727324,-70.2424457,-70.49519397,-69.83559073,-67.90495585,-68.19785854,-67.50803767,-67.66993848
1.825244618,-10.47389683,-10.07558238,-9.819260276,-9.782471131,-8.507736811,-9.654591626,-9.589601601,-9.240186757,-9.152839498,-8.995087855,-8.87295541,-8.847241847,-8.934127564,-8.611205966,-8.722582653,-8.706928476,-8.703265149,-8.676578724,-8.613495407,-76.29692186,-78.99490116,-72.79084758,-75.36381996,-117.0603134,-74.35041827,-72.33103078,-73.25482269,-74.06177666,-77.44321203,-74.71905776,-74.51218141,-73.23330729,-73.41819053,-72.80861912,-70.8826818,-71.18649339,-70.5001154,-70.67548796
1.830919765,-10.38703904,-9.998385334,-9.762312567,-9.714664045,-8.422899052,-9.595390902,-9.53583622,-9.188197224,-9.09953073,-8.936627669,-8.824800768,-8.798562761,-8.885983017,-8.565033018,-8.679568839,-8.665038246,-8.657304985,-8.632839641,-8.569199814,-79.21600442,-81.88597423,-75.69733529,-78.29795273,-119.6413459,-77.30819257,-75.30630484,-76.16797029,-76.98513575,-80.33954329,-77.62801022,-77.4332692,-76.19971729,-76.31890524,-75.76014726,-73.84031685,-74.1555711,-73.47372055,-73.66062568
1.836594912,-10.30098652,-9.922454456,-9.705844005,-9.647772856,-8.341886519,-9.536754856,-9.482288626,-9.136738066,-9.046758972,-8.878925824,-8.777150288,-8.750509336,-8.838143853,-8.519411672,-8.636718814,-8.623248642,-8.611547669,-8.58948515,-8.52528062,-82.10025345,-84.74701131,-78.5782768,-81.20422537,-122.1948441,-80.2372544,-78.25551065,-79.05654778,-79.88293227,-83.20795933,-80.51302473,-80.33046466,-79.14155371,-79.19729065,-78.69009828,-76.77774552,-77.10484543,-76.4283883,-76.62476129
1.842270059,-10.21592582,-9.847981086,-9.650054638,-9.582012778,-8.264734274,-9.478854471,-9.429155045,-9.085989323,-8.994688392,-8.822150304,-8.730175191,-8.703244072,-8.790789234,-8.474503455,-8.594205053,-8.581744901,-8.566212702,-8.546730759,-8.481927234,-84.95055786,-87.57840074,-81.43385122,-84.08282302,-124.7219838,-83.13774179,-81.17869873,-81.92058779,-82.75523602,-86.04878338,-83.37417761,-83.20379589,-82.05880484,-82.05338434,-81.59848445,-79.69491549,-80.03409744,-79.36367955,-79.5673786
