Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'"
2.28493150684932,-22.279409443422,-28.6520619684471,-32.4102402765014,-37.8000062607726,-52.8466575440623,-64.8975751848727,-68.6469784848462,-76.3407414207387,-69.7722206318848,-44.0441000495888,127.934975048951,31.4919296872158,21.0274264695606,52.062164931181,86.3394776180192,167.247885301856
2.29060665362035,-22.1692184438079,-28.5622145913829,-32.3890930819634,-37.766936119918,-52.8511641938891,-64.9630143125838,-68.7331740017522,-76.4333760265235,-77.8636908378692,-53.6590069742039,116.929935411801,19.4978314811944,8.63122428459434,39.1194525832603,72.6107186337061,152.915015027945
2.29628180039139,-22.0627391561969,-28.4715721144387,-32.3700303573992,-37.7377167003382,-52.8575456183846,-65.0305480866281,-68.8221846870988,-76.529032084413,-85.9715229102632,-63.3180969736376,105.922400672898,7.48355693197511,-3.77912000420183,26.1653888393604,58.874288766137,138.587096575778
2.30195694716243,-21.959845410368,-28.3819032392986,-32.352978079078,-37.7127272647996,-52.865922479308,-65.1002805949247,-68.9140860241976,-76.6279038545407,-94.0941528650611,-73.0274573531196,94.9119677466739,-4.54822946473722,-16.202789009987,13.2007801239161,45.1309271069579,124.264889533616
2.30763209393346,-21.8604014636185,-28.2951774215751,-32.3379155150555,-37.6922492750316,-52.8764068205158,-65.1723067173468,-69.0089417258427,-76.730170020947,-102.230381254651,-82.7883653428024,83.8981469764655,-16.5943363015028,-28.6389000777663,0.226495971684536,31.3814154069857,109.949133258708
2.3133072407045,-21.7642765716343,-28.2132489884497,-32.3248743939863,-37.6764491929512,-52.8891011195768,-65.2467115703962,-69.1068037099076,-76.8359933544512,-110.37935039171,-92.597344343152,72.8804875247029,-28.6512672623688,-41.0865162119695,-12.7565404686894,17.6265688392675,95.6405408516344
2.31898238747554,-21.6713574479681,-28.1375925137754,-32.3139318449717,-37.6653733065108,-52.904096406586,-65.3235687545515,-69.207710899731,-76.9455192027294,-118.540497409485,-102.447132852322,61.8586912288638,-40.7154599022575,-53.5446517342019,-25.747356763324,3.86723225691232,81.339798507566
2.32465753424658,-21.5815577342706,-28.069147438331,-32.3051981062932,-37.6589542407351,-52.9214719713217,-65.4029401929964,-69.3116895889975,-77.0588755986453,-126.713489093022,-112.328226212678,50.8327019000679,-52.7835138107459,-66.0122827517391,-38.7449388383525,-9.89572598286729,67.0475633120186
2.33033268101761,-21.4948239464548,-28.0082883992615,-32.2988005942651,-37.6570274626383,-52.9412947725344,-65.4848754276553,-69.4187532298954,-77.1761727908941,-134.898145615943,-122.230527706516,39.8027598554078,-64.8523846148401,-78.488354904771,-51.7482359945422,-23.6614171719482,52.7644640949317
2.33600782778865,-21.4111377364034,-27.9548974458571,-32.2948663855543,-37.6593551389895,-52.9636184194193,-65.5694103232817,-69.5289016258148,-77.2975022403951,-143.094360727955,-132.144715169463,28.769415411885,-76.9195266684214,-90.9717949189953,-64.7561709360512,-37.4289400613212,38.4910975361909
2.34168297455969,-21.3305146508374,-27.9084925217451,-32.2935054241317,-37.6656542124155,-52.9884837783252,-65.656567316651,-69.642121561565,-77.4229370367903,-151.302025520533,-142.063122093725,17.7335001123242,-88.9829746610269,-103.461520857297,-77.7676477189658,-51.1973859468157,24.2280277486024
2.34735812133072,-21.252999883087,-27.8683672974203,-32.2947967367489,-37.6756254655315,-53.0159202510163,-65.7463563427598,-69.7583880302196,-77.5525329083709,-159.520961917269,-151.98013442972,6.69606001597817,-101.041361592534,-115.956452249995,-90.7815601240646,-64.9658438136129,9.97578617929815
2.35303326810176,-21.1786616856381,-27.8337129960575,-32.2987796014648,-37.688980542616,-53.0459438585753,-65.8387720900961,-69.8776618700925,-77.6863257198278,-167.750870274392,-161.89223259436,-4.34173924365064,-113.093877000273,-128.455520871942,-103.796806113736,-78.7334122839241,-4.26513698194936
2.3587084148728,-21.1075833173785,-27.8037119089286,-32.3054509824621,-37.705464315516,-53.0785598481117,-65.9337960406086,-69.9998918558008,-77.8243332166425,-175.991294178576,-171.79784115021,-15.3787215823027,-125.140174827285,-140.957670720722,-116.812286402224,-92.4991948671424,-18.4942825871616
2.36438356164384,-21.039854335857,-27.7776065979895,-32.3147696896239,-37.7248705835376,-53.1137635081267,-66.0313970268166,-70.1250154790505,-77.9665556814704,175.758396894688,178.302888434439,-26.4138069824516,-137.180244882917,-153.46187220733,-129.826923523731,-106.262315819065,-32.7112338099734
2.37005870841487,-20.9755620771532,-27.7547552745195,-32.3266667189658,-37.7470498817494,-53.1515403807312,-66.1315308204783,-70.2529586060953,-78.1129752959266,167.499007641166,168.408303527859,-37.4460980556244,-149.214265225133,-165.967122080324,-142.839666439182,-120.021922374148,-46.9156144200664
2.37573385518591,-20.9147839907647,-27.7346832115081,-32.3410602003774,-37.771909121441,-53.1918677092551,-66.2341415451422,-70.383636919375,-78.2635573231123,159.231501873641,158.515490595452,-48.4749313135817,-161.242454531568,-178.472446593655,-155.84949883731,-133.777190232373,-61.107089696236
2.38140900195695,-20.8575813761843,-27.7171345213721,-32.3578724830683,-37.7994038239071,-53.2347147847969,-66.3391619446714,-70.5169562234863,-78.418250143448,150.956975633878,148.620578583372,-59.4998826741247,-173.264942994203,169.023096784401,-168.855447608216,-147.52733010682,-75.2853693604071
