"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(2,1)) [] - $eps1='13.5' $eps2='3.25'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(2,1)) [deg] - $eps1='13.5' $eps2='3.25'"
0.1,-62.529633,-62.84412573,-63.17173247,-63.34894204,-62.35026123,-63.92251311,-64.06290921,-64.22260313,-64.34230847,-64.27374729,-64.24070145,-64.34783448,-64.38548464,-64.33060727,-64.34884946,-64.40322438,-64.38821693,-64.48855708,-64.51312495,-134.9394346,-135.6883342,-136.1286838,-136.8159138,-142.6262713,-138.0019362,-138.5761391,-139.3415447,-139.9490617,-140.2977587,-140.1110406,-140.2641661,-140.7108126,-140.3538748,-140.1382451,-140.1442523,-140.3587651,-140.4060693,-140.6912563
0.1056751468,-61.83139421,-62.14232314,-62.46204296,-62.63364522,-61.65013915,-63.20310036,-63.34093739,-63.49900719,-63.6178037,-63.54321173,-63.50392284,-63.60973041,-63.64861985,-63.59029729,-63.60987246,-63.66215626,-63.64614542,-63.74749135,-63.77258187,-138.2918255,-139.1126484,-139.6943368,-140.5262103,-146.6339456,-141.8603781,-142.5163086,-143.3672152,-144.0322156,-144.4400656,-144.2655329,-144.4683364,-144.9405408,-144.5864402,-144.283347,-144.327808,-144.5897721,-144.6457486,-144.9484921
0.1113502935,-61.15501647,-61.46217431,-61.77522075,-61.94259307,-60.97438189,-62.50900565,-62.64487892,-62.8018223,-62.91987253,-62.83910374,-62.79321649,-62.89817295,-62.93831463,-62.87658662,-62.89630366,-62.94703443,-62.93051651,-63.03300361,-63.05866025,-141.7264534,-142.628934,-143.3610183,-144.3471432,-150.7639067,-145.8479873,-146.5954434,-147.5415311,-148.2723004,-148.7449153,-148.583307,-148.8387784,-149.3402152,-148.984681,-148.5933999,-148.6782344,-148.9888961,-149.0545425,-149.3797169
0.1170254403,-60.49840694,-60.80173142,-61.10935697,-61.2739279,-60.32133682,-61.83868129,-61.9733508,-62.12985356,-62.24750099,-62.16041772,-62.10750357,-62.21210109,-62.25359623,-62.1883405,-62.20704819,-62.2567816,-62.24024192,-62.34403989,-62.37044032,-145.2429417,-146.2375744,-147.1287852,-148.278269,-155.0164641,-149.964377,-150.8131942,-151.86439,-152.6698289,-153.2134722,-153.0658949,-153.3770522,-153.9117338,-153.550277,-153.0705784,-153.1974379,-153.5578757,-153.6343355,-153.9870744
0.1227005871,-59.85979431,-60.15937321,-60.46286822,-60.62611304,-59.68965546,-61.19089494,-61.3252823,-61.48222294,-61.60000995,-61.5065031,-61.44607166,-61.55082833,-61.5938733,-61.52480833,-61.54138499,-61.59069614,-61.57461239,-61.67993306,-61.7073919,-148.8409328,-149.9388431,-150.9976383,-152.3191642,-159.3918227,-154.2090207,-155.1689686,-156.3352942,-157.2247543,-157.8464163,-157.7144574,-158.0843512,-158.6565461,-158.2846337,-157.716722,-157.8869844,-158.2981434,-158.3866678,-158.7722283
0.1283757339,-59.23766568,-59.53373885,-59.83443178,-59.99787071,-59.07823127,-60.56466721,-60.69985148,-60.85830306,-60.97698497,-60.8769977,-60.8085116,-60.91397934,-60.95887065,-60.88556221,-60.89890545,-60.94839029,-60.93323655,-61.04034043,-61.06930939,-152.5201027,-153.732931,-154.9675391,-156.4694267,-163.8901171,-158.5812533,-159.6619297,-160.9533406,-161.9364331,-162.6438693,-162.5296929,-162.9613885,-163.5755309,-163.1887503,-162.5332455,-162.7479946,-163.2107038,-163.3126011,-163.7362254
0.1340508806,-58.63071755,-58.92367671,-59.2229354,-59.38813334,-58.48615117,-59.95922179,-60.09643369,-60.2576621,-60.37821609,-60.27176965,-60.1946627,-60.301434,-60.34857108,-60.27044237,-60.27946075,-60.32973647,-60.31598705,-60.42518819,-60.45625302,-156.2801773,-157.6199731,-159.0384265,-160.7286761,-168.5114353,-163.080263,-164.2909849,-165.7171977,-166.8035779,-167.6053018,-167.5117232,-168.0082605,-168.6688503,-168.2630628,-167.5210206,-167.7810111,-168.2959835,-168.412558,-168.8793315
0.1397260274,-58.03781751,-58.32820441,-58.62743782,-58.79600494,-57.91265672,-59.37394437,-59.5145579,-59.6800155,-59.80364305,-59.69086291,-59.60456115,-59.71327357,-59.7631585,-59.67950445,-59.68311271,-59.73481629,-59.72294849,-59.83461709,-59.86849051,-160.1209463,-161.6000756,-163.2102313,-165.0965495,-173.2558314,-167.705077,-169.0547674,-170.6250771,-171.824207,-172.7294324,-172.6599645,-173.2242968,-173.9357909,-173.5072732,-172.6802361,-172.9858474,-173.5536641,-173.6861454,-174.2008516
0.1454011742,-57.45797414,-57.74647736,-58.04713746,-58.22072962,-57.35711185,-58.80834723,-58.95386794,-59.12518131,-59.2533027,-59.13444263,-59.03838766,-59.14972505,-59.20295848,-59.11296446,-59.11008376,-59.16386786,-59.15436283,-59.26892523,-59.306435,-164.0422781,-165.6733384,-167.4828863,-169.572695,-178.1233294,-172.4545443,-173.9516153,-175.674707,-176.995604,-178.0141317,-177.9729972,-178.6079117,-179.3746093,-178.9201783,-178.0102491,-178.361431,-178.9825116,-179.1319782,-179.6989548
0.1510763209,-56.89031313,-57.17776393,-57.48134701,-57.66166518,-56.81897495,-58.26203752,-58.41408644,-58.59303725,-58.72727663,-58.60273827,-58.49641162,-58.61110106,-58.6683735,-58.57113872,-58.56070286,-58.61722871,-58.61056967,-58.72850511,-58.77057634,-168.0441299,-169.8398745,-171.8563338,-174.1567616,176.8860796,-177.3273172,-178.9795541,179.1366839,177.6857015,176.5436511,176.5515489,175.8435231,175.0175961,175.5004824,176.4905572,176.0943414,175.4197768,175.2524765,174.6294731
