"Freq [GHz]","dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='1.5' $eps2='0.05'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='2.5' $eps2='0.15'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='3.5' $eps2='0.25'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.35'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='1.5' $eps2='0.05'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='2.5' $eps2='0.15'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='3.5' $eps2='0.25'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.35'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
1.84794520547945,-16.6137714652332,-14.1463970054279,-12.6552069996739,-12.6195871182892,-13.6938788711244,-13.5898302060312,-14.7370710382485,-15.8652014719547,-18.8643101427069,-20.4907585141602,-22.2146242583912,-23.2095672134436,-24.0794965804251,-25.3485485961732,-26.585995648695,-27.483088018079,-27.3345989940129,-27.0951142160878,-26.4503431715511,-24.3486432075877,-21.8954116627745,-20.9305907754556,-20.1356196877016,-19.6559882026054,-19.1150120896876,38.7925281346236,-59.9455364750836,-134.631096271464,154.662952612357,97.9631960660755,43.1232258015339,-16.2607746727424,-61.7616110721309,-101.182734710097,-143.716161388605,174.78336408371,135.360905084461,98.0462997241573,62.1012552690883,25.9728604074033,-6.01256475025296,-33.8509295112627,-63.1263344648971,-88.2536451868706,-99.4184345040226,-99.3914581740082,-113.407382496519,-127.05381019132,-142.835920328608,-151.22573152281
1.85362035225049,-16.6684905552766,-14.211391144053,-12.6702259517889,-12.7075294632198,-13.7416092196971,-13.6083078161775,-14.8586743154657,-15.9200147090627,-18.9102841209152,-20.5669989817894,-22.3071012042981,-23.2962678855241,-24.1609739331138,-25.4386213322085,-26.6899676307208,-27.5904429280491,-27.4376179831899,-27.1940548651812,-26.5459657238323,-24.4393845987622,-21.9732303113305,-21.0137748744461,-20.2349762857664,-19.7783730778593,-19.2609895035197,34.1086040641328,-64.6794619363033,-139.840935365746,149.333427521226,92.8616255675198,37.3175846902717,-22.0030688111642,-67.1704964333355,-107.028269695053,-149.743001082354,168.761176935535,129.316084376209,91.8523989501411,55.7363443493605,19.5124338119293,-12.511317447253,-40.3954207485105,-69.778064205607,-95.0300111704207,-106.310631503051,-106.397067131394,-120.582584534665,-134.356961397618,-150.195086755665,-158.556504891133
1.85929549902153,-16.7240172664439,-14.2725502966043,-12.6867226692219,-12.7949318263008,-13.7824375799344,-13.6305008589081,-14.98001402465,-15.9656790552982,-18.954617003316,-20.6435269748411,-22.397650600763,-23.3794573586895,-24.2398074106479,-25.5274216239754,-26.792292626606,-27.6948530588352,-27.5370312063593,-27.2900240083078,-26.6399441515482,-24.5298986073995,-22.0525044999433,-21.1011681415908,-20.3403415839386,-19.9072784074292,-19.4111043649973,29.4413213979615,-69.3901115446043,-145.061131244843,144.047901146874,87.7682262782457,31.4913252163183,-27.676707102912,-72.5739070188017,-112.880391871928,-155.753170227104,162.763714894796,123.286631624662,85.6638347621544,49.3806837429178,13.071145853101,-18.989919819047,-46.924858050368,-76.4211168377321,-101.79947315413,-113.199230113504,-113.410345225721,-127.753769882693,-141.63452135281,-157.500176427066,-165.803050580869
1.86497064579256,-16.7802874628293,-14.3296870775084,-12.7050667230707,-12.8811315001393,-13.8164048920893,-13.6570422712771,-15.0998175866233,-16.0023629373266,-18.9976825055491,-20.7201791561395,-22.4859119298898,-23.4589958898916,-24.3160874297568,-25.6149733421078,-26.8927168951824,-27.7960899955687,-27.6327783865369,-27.3830569408866,-26.7323915986259,-24.6204250233178,-22.1337324727243,-21.1929015059687,-20.4512473182254,-20.0413776408129,-19.5631944001496,24.7913717853009,-74.0802449049052,-150.289560189598,138.805828879215,82.6779648528732,25.6489408280183,-33.2812768779457,-77.9786015381968,-118.739347741953,-161.74504762923,156.790505414225,117.27065097543,79.4797098624341,43.0348941827564,6.64912611928599,-25.449520352176,-53.4408636919148,-83.0558352494378,-108.561646983053,-120.082286282008,-120.427427963527,-134.914192732117,-148.877302352599,-164.741947158596,-172.959988790911
1.8706457925636,-16.8372021837138,-14.3827072234649,-12.7255942552402,-12.9655383247723,-13.8436198767594,-13.6885298317914,-15.2168243079259,-16.0304223104729,-19.0398789622443,-20.7967642229169,-22.5716240109224,-23.5348859337485,-24.3899744577191,-25.7012517165472,-26.9910534320524,-27.8939483035786,-27.7248231563565,-27.4734137669138,-26.8234641187578,-24.7110584639911,-22.2172869583621,-21.2889028259732,-20.566866123824,-20.1790904655113,-19.7150782660427,20.1595400685536,-78.7527570403347,-155.523741031603,133.606156967545,77.5863045292029,19.795924705324,-38.817722736004,-83.3906805434864,-124.604658112147,-167.716897915665,150.84016368892,111.265915097812,73.299197288066,36.6994285166953,0.246012936370578,-31.8915583544603,-59.9454861086321,-89.6842968779635,-115.316109375544,-126.957875578908,-127.443923649574,-142.056743972716,-156.077563986714,-171.913193015419,179.974993589147
1.87632093933464,-16.8946038079062,-14.4315549707861,-12.7485414535013,-13.0476004236916,-13.8643781521448,-13.7253892260219,-15.3297580555744,-16.0502770749897,-19.0815525749818,-20.8730116288942,-22.6545039532018,-23.6070817268803,-24.4616300348838,-25.7862032864368,-27.0870044105005,-27.9883293362869,-27.813194763333,-27.5612054565143,-26.9132779713783,-24.8018838796665,-22.3034146036525,-21.3888718749888,-20.686258137837,-20.3186680390546,-19.8645102035304,15.5467338566334,-83.410515048216,-160.760799866215,128.44731850554,72.4879083152588,13.9380297709718,-44.2879171735518,-88.8164580897595,-130.475843958345,-173.667703088195,144.911681679546,105.270667802536,67.1215654004186,30.3750175706079,-6.13837144178245,-38.3174366056411,-66.4400572586352,-96.3068305867079,-122.062403718776,-133.823719347855,-134.454850034412,-149.174721206031,-163.228316085163,-179.008788098081,173.001778979697
1.88199608610568,-16.9523866610503,-14.4761853985418,-12.7740981100514,-13.1267353568512,-13.8789072798727,-13.7678438811086,-15.4375052878652,-16.0623931319186,-19.1230374896722,-20.9486235510579,-22.7342440941668,-23.675538979227,-24.5311327069746,-25.869753196979,-27.1803791154798,-28.0790186565815,-27.8978635774289,-27.6463453424203,-27.0018370578596,-24.8928932748136,-22.3921868406247,-21.492324408658,-20.8082053967909,-20.4582274733814,-20.0092587724955,10.9533990792828,-88.0562049283521,-165.997600803221,123.327475896411,67.3782520324188,8.08151503905687,-49.6951272831241,-94.2615841524773,-136.35157845304,-179.596099065707,139.003439979924,99.2827429712414,60.9466982873894,24.0621678705092,-12.5046590240976,-44.7288651804485,-72.9267498203304,-102.923420947379,-128.799853693952,-140.677499313427,-141.45519587901,-156.261672294204,-170.324165638674,173.974161005418,166.117344694562
