Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'"
0.1,-71.9945626542195,-68.6750414818675,-67.2687343704384,-66.5913221898608,-66.3084232562728,-66.187798815881,-65.942306286989,-66.0927966237233,-66.0445953246114,90.7849207962676,74.7865012770137,63.0959201372987,53.7913648564581,44.2740420786344,37.5553835750284,31.6270028995428,29.0423035040449,28.8714427525936
0.105675146771037,-71.0286468923704,-67.7277696644462,-66.3404215890018,-65.6740108564962,-65.3965999599123,-65.264177888522,-65.0002288397215,-65.1186063981016,-65.0575215541461,86.1891001177065,69.4776591730797,57.3331962540485,47.7438126528986,38.0242994059479,31.1451287411645,25.0568365416227,22.4028324569506,22.2445645234467
0.111350293542074,-70.1105251874047,-66.8261543345325,-65.4545466866712,-64.7946376722157,-64.5161520813449,-64.3656218887469,-64.0778399614018,-64.1588438040245,-64.0829895961338,81.5929840390765,64.1834605330449,51.6033973749177,41.7416018055102,31.819437133362,24.7721931024427,18.5110748018179,15.7761534201367,15.6396145812054
0.117025440313112,-69.2350686469477,-65.9649488304769,-64.6056926389709,-63.9477192975324,-63.6618386723846,-63.4871598693385,-63.1703892954205,-63.2087297143124,-63.1158295490359,76.9990670037117,58.9054237701381,45.9057931431081,35.7809129672709,25.6513908556515,18.4239344173287,11.9732948994209,9.14148243391051,9.03528701371409
0.122700587084149,-68.3978461712269,-65.1396075913237,-63.7891714368769,-63.1285344724527,-62.8291927458346,-62.6246136744752,-62.2739384135924,-62.2643503938123,-62.1517159997399,72.4093535385915,53.6445585159105,40.2392218111225,29.8576614895714,19.5122208468081,12.0881969134717,5.42761071123406,2.47825903232944,2.41011287830439
0.128375733855186,-67.5949992033874,-64.3461633768532,-63.0008966376798,-62.3329902916302,-62.0143847961849,-61.7744608067881,-61.3852335551952,-61.3225446777546,-61.1870570268465,67.8254526373483,48.4014953932178,34.6021720617817,23.9675749414538,13.3941035422149,5.75319953424671,-1.14150865911409,-4.23407705137885,-4.25784930173777
0.134050880626223,-66.8231423504333,-63.5811274602146,-62.2372842399139,-61.5575177274039,-61.2141177047728,-60.9337315363699,-60.5016148128288,-60.3808354757916,-60.2189294341445,63.2486502768385,43.1765189582185,28.9928601347368,18.1062395913694,7.2893158705614,-0.592562840519492,-7.7493879234974,-11.0162947258891,-10.9913092903469
0.13972602739726,-66.0792857568145,-62.841412453376,-61.4951718977455,-60.7989891306069,-60.4255437669773,-60.099932181617,-59.6209553179706,-59.4373970293152,-59.2450558854262,58.6799621618762,37.9696458539843,23.4092723576585,12.2691368489817,1.19021386337458,-6.96040470615419,-14.4112581898352,-17.8894492177874,-17.813985093554
0.145401174168297,-65.3607721410684,-62.1242706891042,-60.7717550608638,-60.0546508262872,-59.6461997087363,-59.2709886687046,-58.7416238383716,-58.491049024623,-58.2638207797699,54.1201764818181,32.7806317106786,17.8492102038045,6.45166295441498,-4.91079222796126,-13.3615201328845,-21.1423182281347,-24.8749579723189,-24.7507770941038
0.151076320939335,-64.6652258959115,-61.4272420791602,-60.0645346431427,-59.3220692403191,-58.8739568925309,-58.4452070354952,-57.8624661971031,-57.5412850085729,-57.2743207091303,49.5698858454151,27.6090533266966,12.3103183190485,0.649146570896704,-11.0212617357093,-19.8070255745812,-27.9577364104303,-31.9944724456968,-31.8278066520085
0.156751467710372,-63.9905121734969,-60.7481146667266,-59.3712743285101,-58.5990872459191,-58.1069817022967,-57.6212465138203,-56.9828017475258,-56.5883093638491,-56.2764516823536,45.0295114054808,22.4542985261275,6.79010972583971,-5.14314738278484,-17.1487452115913,-26.3079761008613,-34.8725730996031,-39.2695481020671,-39.0722713543967
