"Freq [GHz]","dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
0.1,-70.6886416877453,-67.2040931357038,-65.7138285424823,-64.7150994103652,-64.2898413251079,-63.4371372939522,-63.2417176801159,-62.9818334650532,-63.0610984551215,-62.950310689385,-62.8963402425801,-62.8955954172594,-62.8534733287334,105.958609948941,97.5328550877877,95.161866177468,93.6113166304763,92.2642407156097,91.7264455357835,90.7576661500886,90.0567337697053,90.0264884541503,89.747220719887,90.1576723207043,89.8356310518393,89.5358168670506
0.10782,-69.6845041049827,-66.2492683492431,-64.7507755813396,-63.7383660345827,-63.306406536784,-62.4443322656059,-62.2435840470652,-61.9738585849778,-62.0407914973778,-61.927413451263,-61.8700810711253,-61.8694378691742,-61.8281443465476,105.792867089331,97.0376050435334,94.3158236594532,92.4079126025999,90.662148273018,89.8228789260314,88.5702928875669,87.6523804959526,87.5876611472586,87.2257557354471,87.726049677095,87.3368158347327,86.9909846063578
0.11564,-68.7285046771778,-65.3400708749237,-63.8362007464651,-62.8139267307717,-62.380267407219,-61.5134556975527,-61.3110512322295,-61.0345087124414,-61.0890844041762,-60.9739401007034,-60.9120538610994,-60.9122274097554,-60.872177604776,105.459816534003,96.3912508849139,93.317391915243,91.0508195494565,88.9166760951933,87.7844529856493,86.2564008599923,85.1199129416667,85.0097896316346,84.5684115094287,85.1519032087986,84.6985644316322,84.3093996890828
0.12346,-67.8160671792249,-64.47205766477,-62.965421341673,-61.9367295986585,-61.5056345528699,-60.6379637536651,-60.4369568802071,-60.156332105132,-60.1987530422785,-60.0824806745791,-60.0151125714321,-60.0166680141352,-59.9781705320306,104.973782519172,95.6052716444733,92.1801589653088,89.5563690958968,87.0464775094961,85.6324158715667,83.8390238708712,82.4851640404335,82.319571739687,81.8020664503306,82.4620056861458,81.9477780847925,81.5179832805114
0.13128,-66.9433587296292,-63.6415516518453,-62.1345161900305,-61.1024905732151,-60.6775638916299,-59.8122424386665,-59.6151410115855,-59.3328595372436,-59.3635051344039,-59.2465876263906,-59.1730306056779,-59.1764071270848,-59.1396815466747,104.34822388573,94.6907555157875,90.9168542032805,87.9393659732075,85.067784251491,83.3845422716053,81.3369167489036,79.7690166411809,79.5388664253442,78.9485884675268,79.6783481846708,79.1064382452103,78.6386473883189
0.1391,-66.1071036282732,-62.8454427155888,-61.3401364339791,-60.3075153750975,-59.8917787068148,-59.0314304802935,-58.8402687167149,-58.5584456093181,-58.5778277179976,-58.460619357123,-58.3803493093322,-58.3858813595888,-58.3510736064519,103.595607899389,93.6582183710729,89.5392436651091,86.2131087907988,82.9946590051368,81.0556837847772,78.7653358047161,76.9882811995699,76.6855007667855,76.0257023811829,76.8189263115034,76.1924405879706,75.6891609326046
0.14692,-65.304456517048,-62.081051821016,-60.5793757397315,-59.5485758922855,-59.1445419147537,-58.2912866040375,-58.1076928339622,-57.828143914749,-57.836868720349,-57.7196178763576,-57.6322607431282,-57.640196330518,-57.6073919387234,102.727365202162,92.5174995023491,88.058096056789,84.3894646525024,80.8392486320909,78.6582430618232,76.1366851165262,74.1564380247957,73.7739620864466,73.0477237291591,73.8984169104397,73.2203050606489,72.6838823866186
0.15474,-64.5329138177808,-61.346036376531,-59.8496790754887,-58.8228217550364,-58.432561386206,-57.5880873011399,-57.4133451294106,-57.1376060656611,-57.1363421906657,-57.0192104537339,-56.9245141325038,-56.9350304045384,-56.904265803616,101.75389859998,91.2777130146105,86.4831956509668,82.4789727479697,78.6120232795122,76.202575141966,73.4610447662861,71.2842542202785,70.8159805555665,70.0261700727767,70.9287493469211,70.2017704645777,69.6343700583875
0.16256,-63.7902500762152,-60.6383228190931,-59.1487768591277,-58.1277151145533,-57.7529177697468,-56.9185462545108,-56.75364852088,-56.4829983895042,-56.4724507746426,-56.355528919574,-56.2533394892384,-56.2665558612622,-56.2378278916167,100.684625148827,89.9472377399817,84.8233841327504,80.4909602894805,76.3219943110314,73.6973234839534,70.7465995287572,68.3802909307295,67.8210142899576,66.9702655613681,67.9195822807083,67.1462872753007,66.5498857640153
0.17038,-63.0744710668188,-59.9560576086766,-58.4746363093629,-57.4609812900639,-57.1030081057116,-56.2797497150912,-56.1254454190874,-55.8609323241096,-55.8418212355593,-55.7251424854538,-55.6153842237282,-55.6313733943906,-55.6046472847734,99.5280377118038,88.5337330593069,83.0866193762188,78.4336608361494,73.9769085678824,71.1496998548665,67.9999858163861,65.4513178725219,64.7966506050342,63.8873553853745,64.8786990089291,64.061424043987,63.4378086579168
