"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.35'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.35'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
1.66066536203522,-12.5305828349945,-13.664073181913,-15.9314128588674,-16.8714502142869,-17.5559820812799,-18.1574648960962,-18.5905207791202,-19.1125949711063,-19.7698679588099,-20.3640794757241,-20.588850028696,-20.9311980846671,-21.3860921616875,-20.5788007841672,-19.3788667333764,-19.5013463531693,-19.6467790363406,-19.9803341577056,-20.3039453946703,-171.955272419167,161.704018547625,145.480460740369,128.727719765724,111.050505949625,92.7159080780714,75.5579055628774,57.8192979512067,40.5573452488207,26.1613244325491,11.5290280747849,-0.832676514503451,-14.9352799709824,-21.9499754617712,-25.0584102242981,-33.596498158523,-40.1783961710298,-47.6458819902908,-53.2899141965812
1.66634050880626,-12.5796833922398,-13.7261443247793,-15.959330916859,-16.8952802314337,-17.6002676285046,-18.2205070273991,-18.6561905434773,-19.1894283253356,-19.8653967794898,-20.4750963028077,-20.7165139850959,-21.0698445554882,-21.5424855059677,-20.7484572852265,-19.5576267595346,-19.6953887453008,-19.8546161808224,-20.2051823510616,-20.5421529708816,-178.080707165525,155.552563974837,139.330038180012,122.326155619072,104.498056036777,86.1349286485417,68.9368116316228,51.1149028621845,33.8261612025561,19.4325701376614,4.794067811734,-7.52981796850992,-21.600559881348,-28.6638800948255,-31.8731382875488,-40.4141086255956,-46.9688859938258,-54.3724923934758,-59.9328513035841
1.6720156555773,-12.6279551705723,-13.7868236215413,-15.9861937955139,-16.9226917596179,-17.6495915606175,-18.2872819711397,-18.7247408822433,-19.2696575736315,-19.9639245245022,-20.5884903616084,-20.8459278942909,-21.2095758119402,-21.6997171416427,-20.9187159123099,-19.7367786630367,-19.8899219888863,-20.0624181137787,-20.428751829057,-20.7779210859022,175.816640816273,149.431028102076,133.162341711811,115.911166435562,97.9532046629419,79.5753277775278,62.332890676216,44.4300358585006,27.1199405788903,12.7311577155754,-1.9132154949087,-14.2030991562101,-28.2440383463112,-35.3570318269538,-38.6675494141295,-47.2105653851387,-53.7369664187472,-61.0803769879902,-66.5666745897756
1.67769080234834,-12.674933184562,-13.8453055730105,-16.0127511533998,-16.9541739047021,-17.7039846639153,-18.3575164954905,-18.7960661032574,-19.3530615662044,-20.0651457869479,-20.7039165838088,-20.9768211945825,-21.3503049356693,-21.8579028324378,-21.0897981596455,-19.9165824505662,-20.0851895059252,-20.2704851544554,-20.6518571357589,-21.0130327916212,169.734013883297,143.336454366288,126.975136271623,109.484967444852,91.4195181817562,73.0389914729595,55.7473941536322,37.7659311316723,20.4397324817352,6.05707366908458,-8.59380490204723,-20.8542915630314,-34.8677208315007,-42.0322308920905,-45.4453037769174,-53.9901670746704,-60.4891158851266,-67.7795638282804,-73.2033667045677
1.68336594911937,-12.7202277992989,-13.9008411833159,-16.0397760821515,-16.9901826435978,-17.7634028921625,-18.4309096459444,-18.8700303599783,-19.4394305563168,-20.1687391773959,-20.8210793941264,-21.1089602690026,-21.4920226122345,-22.0172321451283,-21.262039151962,-20.0973981849459,-20.2816283547588,-20.4794646853902,-20.8758567702086,-21.249857736316,163.668320983805,137.264409929283,120.76734345769,103.050338688934,84.9006989753227,66.5275377461012,49.1816101860518,31.1243263306605,13.7862704983597,-0.589859904696458,-15.2488588379684,-27.4850412117166,-41.4734715081084,-48.6919073916597,-52.2097886367636,-60.7571281243276,-67.2316299384984,-74.4783804904475,-79.8503691970087
1.68904109589041,-12.7635700793569,-13.9528186234987,-16.0680908208389,-17.0311221842795,-17.8277215321059,-18.5071431050186,-18.9464668609914,-19.5285055760917,-20.2743735573849,-20.9396841562032,-21.242183491426,-21.6347889559788,-22.177991127393,-21.4358783682261,-20.2797480178458,-20.4798733797398,-20.6903511236488,-21.1025528104956,-21.4910539107514,157.615933330367,131.208976134014,114.538618417681,96.6105546191713,78.4004592670319,60.0423647882701,42.6366126256115,24.5064356640238,7.15996027826623,-7.21025848151283,-21.8798192196594,-34.0970817768739,-48.062604331746,-55.3379835561977,-58.963859280834,-67.5152037600763,-73.969820810524,-81.1822569803028,-86.5095913585492
1.69471624266145,-12.8047796451689,-14.0008473107288,-16.0984872156445,-17.0773217324365,-17.8967271637986,-18.5858740448078,-19.0251823903346,-19.620010649801,-20.3817212032495,-21.0594745964576,-21.376382429579,-21.7787246878712,-22.3404958630223,-21.6118430454904,-20.4642534781247,-20.6807648517679,-20.9044308568905,-21.3340253568132,-21.7392520912473,151.573117067607,125.162985849446,108.289783593221,90.1693537435734,71.9224702166519,53.5845239824144,36.1135470828165,17.9133671672899,0.560871199288289,-13.8050045525178,-28.4882187858277,-40.6918713922117,-54.6360743745606,-61.9716689886902,-65.7098023064412,-74.2673074412077,-80.7070895971914,-87.8928301248975,-93.1772966691343
1.70039138943249,-12.843797284733,-14.0448179191932,-16.1317465246493,-17.1290574325642,-17.9701253954169,-18.6667689037192,-19.1059558340523,-19.7136232994521,-20.4904623251425,-21.1802361467609,-21.5115050034582,-21.924032309754,-22.5051474238995,-21.7905188094666,-20.6516532147431,-20.8853215494977,-21.1232174367956,-21.5724283228417,-21.9967707155356,145.535923513141,119.118360927264,102.02244533651,83.7309783734651,65.4702352099294,47.1549743999285,29.6133706862163,11.3458518189421,-6.01127448603516,-20.3752094078456,-35.0756438728824,-47.2705633988604,-61.1941619571815,-68.593316640702,-72.4490506059564,-81.0150633445966,-87.4446333149422,-94.6076120701796,-99.8448384360504
1.70606653620352,-12.880675730611,-14.0849428503045,-16.168596069527,-17.1864885105335,-18.0475381386204,-18.7494705351139,-19.1885447452205,-19.8090512092008,-20.6003022700366,-21.3018011894257,-21.6475789859027,-22.0709573104519,-22.672355718082,-21.9725491104133,-20.8427818967511,-21.09469197538,-21.3483211910969,-21.8198094868005,-22.2654305028222,139.500442866597,113.066668637031,95.7392353553563,77.2998444155185,59.0470181644462,40.7542445939238,23.1368569924133,4.80458662211226,-12.557020004286,-26.9221444860803,-41.6436549057997,-53.8339374313859,-67.7366032759826,-75.2023849637387,-79.1819979693934,-87.7584925121702,-94.1808389165015,-101.320002151769,-106.500124392604
1.71174168297456,-12.9155708804861,-14.1218115196512,-16.2096929988335,-17.2496905022266,-18.1285156918096,-18.8336272313623,-19.2726875306401,-19.9059553992506,-20.7109656180268,-21.4240542087015,-21.7846827677416,-22.2197608542961,-22.8425471548508,-22.1585845201352,-21.0385263847135,-21.3100927366562,-21.5813382033512,-22.0778976862532,-22.5464577864034,133.462881591656,106.999790644944,89.4434780252764,70.8806816081998,52.6556671169427,34.382716759251,16.6846836093946,-1.71033121032253,-19.0772585596809,-33.44727743571,-48.1935587875103,-60.382507007954,-74.2623745654163,-81.7973497525789,-85.9079439964784,-94.4956904126462,-100.911097272444,-108.020082655163,-113.12919160478
