eps',eps'',Type,Diametre,bande freq 1,bande freq 2,bande freq 3,bande freq 4,bande freq 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,r_p freq montee bande_freq 1,r_p freq montee bande_freq 2,r_p freq montee bande_freq 3,t_m valeur a 1.5 GHz,t_m valeur a 3 GHz,t_p freq premiere montee,t_p periodicite
1,0,BOIS,35,0.1,0.917221135029354,2.04657534246575,2.64246575342466,3,428.3911942774917,1436.9888735825025,1430.1486107046273,1316.6140004387883,-15.894842847850098,-14.6078276321963,-24.4722583248129,-37.185696905057,0.610763209393346,1.6720156555773003,2.47221135029354,2.82407045009785,-1.4979430952199984,-0.2474806981028994,-0.6667901521405,-2.190983359045795,1.2220395613946007,0.2799255685615982,0.4744733530778973,2.2816425438428958,0.45753424657534203,0.7923679060665358,2.0409001956947197,-24.264027479486398,-18.3448139002871,0.43483365949119396,8.0
2,0.1,BOIS,35,0.1,0.843444227005871,2.00117416829746,2.61409001956947,3,442.7741557535737,1531.024868058477,1376.3635271784763,1263.5706997413406,-21.0874631922764,-15.089096670729498,-22.675583643394898,-32.144548398706,0.576712328767123,1.5585127201565598,2.41545988258317,2.80704500978474,-2.6849861651815985,-0.33056280099479984,-0.5738560219365958,-1.5935626349013994,2.6168221138499987,0.28782265700162135,0.5061152326325988,1.640353625415802,0.44050880626223105,0.769667318982387,2.00684931506849,-18.330290673183104,-23.8862103693855,0.37808219178082203,9.0
3,0.2,BOIS,35,0.1,0.8774951076320942,1.9841487279843402,2.5857142857142903,3,499.2304247042803,1512.0709042242606,1317.9507697481608,1249.3321858731147,-28.182258101923104,-15.278506615725,-25.1800689369875,-27.467314029834398,0.554011741682975,1.52446183953033,2.39843444227006,2.7956947162426604,-6.8597874570786,-0.2871259449417991,-0.8768244555496025,-0.9242471225879001,6.674867306183501,0.25690971313898103,0.758961275719706,1.009543062561292,0.43483365949119396,0.7526418786692759,2.00117416829746,-16.762377185510303,-26.542561375030605,0.34403131115459895,10.0
4,0.3,BOIS,35,0.1,0.80371819960861,1.96712328767123,2.59706457925636,3,485.3300410782704,1633.4684292970048,1308.1130429099255,1208.4501939468807,-30.2218500590829,-16.4866439324823,-21.9621259333137,-25.9702324314915,0.5426614481409001,1.52446183953033,2.38708414872798,2.80704500978474,-5.719796228700904,-0.21627010431950033,-0.6463387517040999,-0.7077946850101995,5.619649453632505,0.34750472360749995,0.5190590815144986,0.8314639532765007,0.42915851272015704,0.7526418786692759,1.9898238747553798,-17.7456159896157,-27.092198123653496,0.315655577299413,11.0
5,0.6,BOIS,35,0.1,0.860469667318982,1.96712328767123,2.5857142857142903,3,517.3071709117456,1630.091527774933,1266.9867417500186,1201.8070462709727,-46.6437801554169,-16.9471979276771,-21.6030504832973,-24.9065227783452,0.531311154598826,1.4960861056751498,2.38708414872798,2.8013698630137003,-21.4526359430554,-0.23676973515569877,-0.6319904699136991,-0.6866865647869034,21.6768795975093,0.3258421845301047,0.4799751931695013,0.7507175950021008,0.42348336594911895,0.7356164383561641,1.9898238747553798,-22.5117261708742,-37.6980193128489,0.29295499021526394,12.0
6,0.9,BOIS,35,0.1,0.8207436399217222,1.96712328767123,2.59706457925636,3,499.6370041310568,1682.3374695635323,1306.343951973566,1130.662796907536,-39.8858536774202,-18.092851277413303,-22.538860441721802,-21.1064839508484,0.519960861056751,1.48473581213307,2.38708414872798,2.81839530332681,-15.557956888485304,-0.26030005140500023,-0.7036669221082974,-0.37504192173230066,14.782155668936902,0.33982837099009977,0.5464712438253976,0.4332227010654002,0.41780821917808203,0.7356164383561641,1.9898238747553798,-26.7085120618227,-46.5474150655048,0.275929549902153,12.5
7,1.1,BOIS,35,0.1,0.798043052837573,1.95577299412916,2.57436399217221,3,476.533032209286,1710.504979009036,1223.4305567735348,1221.971035407868,-26.0918363593276,-19.0517159056789,-21.0992420508141,-24.271524606491198,0.5142857142857139,1.473385518591,2.37573385518591,2.80704500978474,-5.0510777799905,-0.3023511875404985,-0.6240914042141981,-0.6133123677314991,4.539636498222798,0.3953746837909975,0.4778247620910001,0.6695269237466022,0.41780821917808203,0.7299412915851271,1.9898238747553798,-28.514308741285,-51.1932460345978,0.25890410958904103,13.0
8,1.4,BOIS,35,0.1,0.8377690802348341,1.95577299412916,2.5857142857142903,3,502.3505238727199,1718.2356637789014,1249.8797059127974,1113.6984259476828,-29.153908303028604,-19.9013827438613,-21.3547387968835,-20.4372729193108,0.5142857142857139,1.473385518591,2.37573385518591,2.8127201565557702,-5.353415855353596,-0.33041432923469927,-0.6373883791928954,-0.36933554683049863,5.452187934910906,0.4319419693083013,0.4990227668322049,0.4187947072472049,0.412133072407045,0.7299412915851271,1.99549902152642,-31.113954326544103,-58.3904904925716,0.253228962818004,14.0
9,1.8,BOIS,35,0.1,0.8264187866927591,1.9614481409002,2.59138943248532,3,505.9361862567274,1761.3569703294725,1227.4959041540146,1099.4156791126957,-47.914776945294896,-21.356186275736302,-20.2911801021734,-20.0730103668054,0.5142857142857139,1.4677103718199598,2.3814090019569503,2.82407045009785,-21.768274523017595,-0.41040251580150056,-0.5664243561486018,-0.34642818840940137,22.235834951721596,0.48828802796729676,0.4260973169254001,0.38701450959710115,0.412133072407045,0.7299412915851271,1.9898238747553798,-31.070633410966202,-61.9413743974454,0.247553816046967,14.0
