eps',eps'',Type,Diametre,bande freq 1,bande freq 2,bande freq 3,bande freq 4,bande freq 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,r_p freq montee bande_freq 1,r_p freq montee bande_freq 2,r_p freq montee bande_freq 3,t_m valeur a 1.5 GHz,t_m valeur a 3 GHz,t_p freq premiere montee,t_p periodicite
1,0,BOIS,20,0.1,0.894520547945205,2.0238747553816,2.60841487279843,3.0,394.3909488982361,1442.8268352002422,1315.039442841908,1490.2977180208563,-15.011149358541902,-14.7559792643321,-22.9907246161822,-36.8283841250909,0.610763209393346,1.6436399217221103,2.4551859099804303,2.81839530332681,-1.3830460923329007,-0.29779584861860187,-0.6564288764401027,-1.6667724902445045,1.2229538521552996,0.23980003788129878,0.45696721269600005,1.6543017076724027,0.45753424657534203,0.7923679060665358,2.0238747553816,-16.4113644640235,-15.361616071305198,0.50293542074364,6.0
1.5,0.05,BOIS,20,0.1,0.90587084148728,1.9217221135029399,2.6027397260274,3.0,413.1315015216289,1300.974895860645,1442.3633324649377,1341.2566187369005,-16.062564632700802,-12.3032956327294,-26.2182014863015,-45.541753889191206,0.588062622309198,1.6776908023483401,2.4268101761252403,2.8127201565557702,-1.6666257661097,-0.15215256280383826,-0.9790180569125972,-5.602032921429199,1.4742211466151023,0.31043207540371043,0.9145084172873013,6.918827157760703,0.451859099804305,0.781017612524462,2.01819960861057,-13.188568945478899,-17.116857941472098,0.48023483365949104,7.0
2,0.1,BOIS,20,0.1,0.888845401174168,2.01252446183953,2.6027397260274,3.0,434.6524159477548,1504.8812093127326,1387.2466212603433,1228.1586962396475,-18.0686419137932,-15.1923253070129,-25.3944463119151,-29.8597772932124,0.576712328767123,1.61526418786693,2.4041095890411,2.79001956947162,-2.1754587749031007,-0.2746757273661995,-0.8241060717290942,-1.2997654960542029,1.9055297400796007,0.44767842308759853,0.6248600705078999,1.3322773411906041,0.44050880626223105,0.769667318982387,2.01252446183953,-11.5127357382356,-16.8140525355915,0.46320939334638,7.0
2.5,0.15,BOIS,20,0.1,0.843444227005871,1.93874755381605,2.52328767123288,3.0,437.65609868739523,1458.9326516741864,1118.8730337842628,1494.1543541323026,-22.245882792218698,-14.942047357227098,-19.1248695748171,-48.5217617763798,0.559686888454012,1.5641878669275902,2.3814090019569503,2.7956947162426604,-3.4352335511636003,-0.28153221481920276,-0.4639589038321006,-10.577620938339791,3.2213062586908983,0.36107289504989737,0.38244688373980296,7.120354373329697,0.44050880626223105,0.7639921722113499,1.9898238747553798,-11.162694449846198,-17.533259936985,0.4461839530332679,8.0
3,0.2,BOIS,20,0.1,0.809393346379648,2.05225048923679,2.59138943248532,3.0,448.7605526574093,1643.9302040343014,1290.7140915015514,1322.1357741197778,-25.7792826571372,-15.4515105437678,-25.813556250431,-33.889541512493,0.5483365949119371,1.52446183953033,2.4041095890411,2.79001956947162,-5.775927569175,-0.29002158654550136,-0.8708145915130991,-1.7156917165143994,5.207123406823403,0.3028999209004013,0.6853860366097955,1.8261887870961004,0.43483365949119396,0.7583170254403129,2.00684931506849,-11.142041225641599,-17.8915598425572,0.43483365949119396,8.0
3.5,0.25,BOIS,20,0.1,0.781017612524462,1.99549902152642,2.5289628180039103,3.0,475.12163716530574,1620.3123365116803,1055.2507741754962,1453.029842215233,-48.227573200962,-15.665588161545598,-18.8752170428805,-29.321283719332104,0.5426614481409001,1.4904109589041101,2.39275929549902,2.79001956947162,-24.1021751695971,-0.3345084611513993,-0.44677290136740133,-1.0763841342869966,22.3914613765199,0.38345629279710103,0.3221620161553034,1.1541203105775963,0.42915851272015704,0.7469667318982389,1.9898238747553798,-11.2195158200121,-18.5810824773755,0.42348336594911895,8.0
4,0.3,BOIS,20,0.1,0.7583170254403129,1.93307240704501,2.59138943248532,3.0,450.91252545714013,1541.9563178977999,1322.3487805112227,1214.576899736,-29.382706962634202,-14.5780924671281,-23.0882437549341,-29.8312147958138,0.536986301369863,1.44500978473581,2.37573385518591,2.7956947162426604,-6.184443781657503,-0.3227192584339029,-0.8070222283196955,-1.3816153427021973,4.7887622323383034,0.4179594957167012,0.5315994026444031,1.4628595620467983,0.42915851272015704,0.741291585127202,1.9841487279843402,-12.034094658273899,-19.5376881912759,0.412133072407045,8.0
4.5,0.35,BOIS,20,0.1,0.7356164383561641,1.8763209393346398,2.5573385518591003,3.0,437.9333302109294,1577.962117515046,1260.803379524355,1316.9304777922246,-24.8856082639742,-16.441513238982502,-20.971079460703198,-30.987906963614996,0.531311154598826,1.53581213307241,2.37005870841487,2.7956947162426604,-3.855912299220499,-0.3575802904749992,-0.5523567314266984,-1.3994787383955973,3.240538481940902,0.45176201300900054,0.516892585300095,1.4716915273888027,0.42348336594911895,0.7356164383561641,1.9898238747553798,-12.566201182971001,-20.2076613332335,0.406457925636008,8.5
5,0.6,BOIS,20,0.1,0.888845401174168,2.00117416829746,2.56301369863014,3.0,514.0187353623643,1666.806548856693,1186.0316960681569,1280.3350953756526,-25.7956386001625,-17.0452507665751,-21.047178442694303,-25.516327565025602,0.531311154598826,1.50743639921722,2.3814090019569503,2.78434442270059,-3.699912885670102,-0.27382837051059994,-0.6078497306581987,-0.6963501225612028,3.3493951866310034,0.3458770758545988,0.4444069001639015,0.7761814474699023,0.42348336594911895,0.7299412915851271,1.9898238747553798,-15.237899972377999,-25.6440309015173,0.38943248532289604,9.0
5.5,0.75,BOIS,20,0.1,0.8718199608610571,1.96712328767123,2.58003913894325,3.0,501.6130347238737,1652.1272447851254,1253.0482677521043,1181.7540182736043,-27.274521678931,-17.1509024201617,-20.946411826023102,-22.0528806388927,0.531311154598826,1.4960861056751498,2.38708414872798,2.78434442270059,-4.1176332386636965,-0.25157145282490134,-0.5856907195070029,-0.42856299634009787,4.268171891487306,0.2953988195683994,0.4047708214426997,0.4903322739625011,0.42348336594911895,0.7299412915851271,1.9841487279843402,-16.594217742189997,-28.349465679102302,0.38375733855185906,9.0
